Age,Gender,Country,IncomeUSD,YearsVaped,PodsPerWeek,NicotineStrength_mgml,PurchaseChannel,FlavourFamilies,SweetLike,MentholLike,NewFlavourFreq,SmartwatchDaily,MoodMatchInterest,BoredOfFlavoursPain,NicDependencePain,MoodFitPain,PreferredPackSize,MaxMonthlySpendUSD,SubscribeLikelihood
22,Female,AU,1204,3.4,10.1,15.6,Online-direct,Beverage,3,3,4,0,3,4,2,1,10,50.7,4.0
33,Female,US,2342,2.8,5.1,23.0,Online-direct,Menthol/Fresh,4,5,3,0,2,2,2,2,6,45.48,6.0
23,Female,US,1105,0.2,4.7,25.0,Retail shop,"Other,Fruity",2,4,5,1,4,4,3,4,6,46.62,4.0
19,Male,CA,1809,3.3,5.3,13.9,Online-direct,Other,1,5,2,1,4,2,1,2,6,52.03,6.0
42,Male,AE,2221,2.0,8.3,20.4,Online-direct,"Other,Dessert",5,4,2,0,1,3,2,2,10,74.37,5.0
28,Male,AU,1981,4.2,7.7,18.4,Online-direct,Spice,2,2,3,0,5,3,2,3,10,76.18,8.0
31,Male,AE,2179,0.6,4.9,22.5,Vape lounge,"Tobacco,Menthol/Fresh",3,5,2,0,5,1,3,3,6,58.25,10.0
19,Female,IN,942,0.9,3.0,6.0,Retail shop,"Menthol/Fresh,Dessert",4,5,4,0,3,4,1,2,3,17.14,6.0
26,Male,AE,2229,2.4,6.9,15.8,Online-direct,"Dessert,Menthol/Fresh",5,5,3,0,3,4,3,3,6,42.11,6.0
31,Male,AE,2138,2.0,5.5,20.1,Friends,Fruity,2,2,4,0,1,3,3,2,6,70.28,3.0
21,Male,FR,1059,1.5,3.9,18.0,Retail shop,"Fruity,Tobacco",4,2,2,1,4,1,1,2,3,33.98,10.0
33,Male,PH,3053,4.1,5.5,15.3,Friends,"Fruity,Menthol/Fresh,Spice",5,5,4,1,3,5,1,2,6,65.23,6.0
25,Female,GB,2070,2.5,5.1,22.1,Retail shop,Beverage,2,3,3,0,4,4,1,3,6,42.62,9.0
28,Female,PH,2489,3.7,6.2,17.4,Online-direct,"Menthol/Fresh,Fruity,Tobacco",3,5,4,0,3,3,3,1,6,51.21,8.0
25,Male,AU,2532,0.5,4.8,15.4,Retail shop,Beverage,4,5,3,1,3,2,1,4,6,44.62,8.0
45,Male,AU,3099,3.9,6.6,20.1,Online-direct,"Fruity,Tobacco",4,5,4,1,5,4,2,5,6,80.76,7.0
30,Male,DE,2439,1.9,2.0,11.7,Online-direct,Fruity,1,1,4,0,3,4,1,4,3,53.85,3.0
22,Male,AE,1275,0.1,4.1,14.4,Online-direct,"Beverage,Menthol/Fresh",1,5,3,1,4,4,2,3,6,45.53,7.0
37,Male,US,1138,0.8,5.7,11.8,Online-direct,Other,2,1,5,1,4,5,1,2,6,41.17,3.0
20,Prefer not to say,PH,1088,0.1,1.0,25.7,Online-direct,"Spice,Beverage",4,5,3,1,5,2,4,4,3,48.43,6.0
32,Male,DE,1288,1.8,7.5,15.1,Online-direct,"Other,Menthol/Fresh,Beverage",1,5,5,0,4,5,1,4,10,50.94,5.0
18,Male,IN,818,1.2,6.3,19.9,Vape lounge,"Dessert,Spice",5,4,2,1,3,3,2,4,6,28.46,7.0
19,Male,GB,1661,13.1,15.2,34.7,Online-direct,"Fruity,Other,Dessert",5,4,3,1,4,2,3,3,15+,97.01,6.0
32,Female,AE,2187,6.1,7.4,10.7,Online-direct,"Other,Menthol/Fresh",4,5,5,1,5,4,2,4,10,79.75,9.0
36,Female,DE,2968,5.2,9.8,22.9,Vape lounge,Fruity,4,3,2,0,4,2,2,4,10,78.38,10.0
31,Female,PH,1916,2.1,3.0,13.1,Online-direct,Other,4,2,4,1,5,4,2,4,3,48.17,6.0
29,Male,IN,3375,4.9,6.9,25.9,Friends,Dessert,4,1,4,0,3,5,3,2,6,78.85,5.0
28,Female,FR,2578,0.9,1.9,7.4,Online-direct,"Other,Fruity",5,5,5,1,4,5,2,4,3,56.48,5.0
18,Male,SG,1591,2.5,5.5,11.7,Retail shop,"Tobacco,Menthol/Fresh",4,5,5,1,4,5,1,4,6,50.01,6.0
24,Male,GB,1961,1.5,6.7,16.5,Online-direct,"Tobacco,Spice",5,4,3,1,3,2,3,2,6,91.2,4.0
26,Male,AU,1821,0.6,4.2,11.7,Online-direct,"Other,Menthol/Fresh",4,5,4,1,3,5,1,2,6,49.63,3.0
38,Male,FR,3295,0.2,4.7,12.4,Vape lounge,Dessert,5,5,2,1,4,2,1,4,6,73.71,8.0
33,Female,AE,2992,2.5,5.0,25.1,Friends,Menthol/Fresh,4,5,3,0,3,3,3,3,6,70.24,8.0
18,Female,SG,1748,0.3,3.4,14.0,Retail shop,"Menthol/Fresh,Dessert",4,4,4,1,3,3,1,3,3,36.11,6.0
33,Male,SG,2661,3.8,5.0,11.1,Retail shop,"Spice,Menthol/Fresh",2,5,3,1,5,3,1,4,6,60.1,7.0
27,Female,GB,2239,7.6,10.5,18.5,Online-direct,"Spice,Other,Fruity",1,5,3,1,4,2,3,3,10,75.48,8.0
25,Female,US,1329,0.5,2.4,14.4,Retail shop,Beverage,5,5,1,0,3,2,1,2,3,15.0,9.0
35,Female,FR,2157,1.9,4.7,16.4,Online-direct,"Spice,Dessert",5,5,2,0,3,3,2,3,6,38.12,7.0
38,Male,US,3889,4.0,6.7,13.8,Online-direct,"Beverage,Spice,Dessert",5,3,4,0,2,5,1,2,6,49.36,6.0
37,Male,CA,3506,1.0,3.5,5.4,Online-direct,Dessert,5,5,1,1,3,1,1,1,3,62.95,10.0
23,Male,FR,942,7.6,13.8,23.5,Online-direct,"Tobacco,Other,Menthol/Fresh",5,5,5,0,3,5,2,1,15+,103.34,4.0
28,Female,IN,1172,6.6,12.3,21.9,Retail shop,Spice,3,2,2,0,2,2,2,1,15+,93.27,4.0
33,Male,AE,3051,0.3,5.4,12.2,Online-direct,"Spice,Beverage,Dessert",4,3,2,1,3,2,1,3,6,58.55,10.0
38,Male,FR,3021,0.1,5.8,22.2,Retail shop,Spice,4,5,3,0,3,4,1,1,6,64.44,6.0
26,Male,FR,1990,11.2,16.3,29.2,Online-direct,"Menthol/Fresh,Fruity",3,5,4,1,3,5,2,1,15+,93.26,5.0
29,Male,CA,2776,9.4,12.4,23.1,Retail shop,"Dessert,Fruity",5,3,4,1,5,4,3,4,15+,103.4,8.0
21,Female,GB,1261,1.6,4.4,12.6,Online-direct,Other,4,2,3,0,3,4,1,2,6,59.13,6.0
20,Female,GB,1538,0.2,3.6,22.3,Online-direct,Menthol/Fresh,1,5,3,0,2,3,2,3,3,25.84,5.0
37,Female,IN,2710,2.9,5.6,9.8,Online-direct,Tobacco,1,5,4,1,4,4,2,4,6,63.14,7.0
41,Female,GB,2297,1.0,2.4,9.9,Online-direct,Menthol/Fresh,4,4,3,0,1,4,1,2,3,51.65,2.0
29,Male,SG,2256,8.3,11.7,19.4,Online-direct,"Fruity,Dessert",4,5,3,0,2,4,2,1,10,81.27,1.0
38,Male,PH,3716,4.7,5.4,16.9,Online-direct,"Beverage,Spice,Menthol/Fresh",3,4,4,0,3,3,3,2,6,68.56,4.0
33,Male,CA,1766,3.1,6.3,19.6,Online-direct,Dessert,5,5,3,0,3,2,2,4,6,43.24,6.0
25,Male,PH,1948,1.0,2.5,5.8,Online-direct,Spice,4,4,3,0,4,4,1,5,3,34.77,3.0
33,Male,PH,2470,3.6,6.5,13.1,Friends,Tobacco,2,2,4,0,1,3,1,1,6,55.89,6.0
42,Female,CA,2862,1.0,4.3,16.5,Online-direct,Tobacco,4,2,5,0,4,4,2,2,6,78.58,6.0
30,Male,PH,2700,0.1,2.6,9.3,Retail shop,"Spice,Tobacco,Dessert",5,5,4,1,5,5,2,3,3,32.58,8.0
43,Female,PH,2691,2.1,2.6,10.6,Online-direct,Menthol/Fresh,5,5,3,1,4,4,1,2,3,54.06,8.0
18,Male,PH,2013,2.0,3.2,14.1,Retail shop,"Dessert,Other",5,3,5,1,4,5,1,3,3,39.01,3.0
37,Male,IN,3168,4.3,8.0,13.1,Online-direct,Spice,5,1,4,0,4,5,1,5,10,82.01,7.0
31,Male,AU,1545,6.0,8.2,19.6,Online-direct,Beverage,3,1,4,0,2,4,2,1,10,70.45,6.0
28,Male,IN,2893,1.3,5.1,18.2,Retail shop,Beverage,4,4,4,0,2,5,3,1,6,73.84,3.0
31,Male,US,2176,1.8,4.8,15.0,Online-direct,Menthol/Fresh,3,5,4,0,1,5,3,1,6,65.14,4.0
18,Male,FR,875,1.9,4.6,21.7,Online-direct,Spice,3,5,4,1,4,4,1,3,6,53.15,5.0
28,Male,GB,2422,1.2,4.7,18.3,Online-direct,"Beverage,Tobacco",4,3,4,0,4,5,3,2,6,65.29,4.0
33,Male,CA,2713,4.1,6.1,15.9,Online-direct,"Beverage,Tobacco",2,3,5,1,4,5,3,2,6,61.76,8.0
42,Male,SG,2088,2.2,5.8,14.2,Vape lounge,"Menthol/Fresh,Dessert",4,5,3,1,5,2,2,3,6,53.58,8.0
26,Female,PH,1660,7.4,9.8,28.6,Retail shop,Dessert,5,4,3,0,4,2,2,3,10,94.86,6.0
24,Female,DE,1815,3.2,10.0,16.7,Online-direct,Beverage,3,1,3,0,2,2,3,3,10,85.34,7.0
26,Male,CA,323,0.7,2.0,10.6,Vape lounge,Tobacco,3,5,4,0,2,4,1,1,3,24.98,2.0
37,Female,AE,2644,0.5,3.0,11.0,Online-direct,Fruity,5,4,4,0,3,4,1,2,3,43.05,8.0
33,Female,CA,2410,1.4,3.9,15.9,Retail shop,Other,2,1,5,1,3,5,3,3,3,50.1,8.0
26,Female,FR,1291,1.3,2.3,23.6,Vape lounge,"Fruity,Other,Dessert",5,5,3,0,2,4,2,1,3,27.31,3.0
34,Male,SG,2313,1.6,5.7,16.9,Online-direct,Spice,3,5,4,1,4,5,2,5,6,71.63,6.0
31,Male,CA,1803,0.6,3.0,11.4,Retail shop,Dessert,5,5,3,1,4,3,1,4,3,44.15,7.0
38,Female,SG,2302,11.5,10.9,21.8,Retail shop,"Other,Spice",3,5,4,0,3,5,2,2,10,98.06,3.0
24,Male,CA,2074,0.5,4.5,7.9,Online-direct,"Tobacco,Beverage",3,2,3,0,3,4,1,3,6,54.84,5.0
27,Female,IN,2355,3.2,5.2,14.3,Retail shop,"Fruity,Tobacco",3,5,5,1,3,5,2,1,6,36.09,6.0
27,Female,IN,1669,0.1,2.9,21.4,Online-direct,Tobacco,5,4,4,1,4,4,3,2,3,45.64,6.0
18,Male,AU,1160,1.6,5.6,18.9,Retail shop,"Beverage,Tobacco",1,4,4,1,5,5,2,5,6,52.02,3.0
32,Male,US,2459,1.1,3.6,19.8,Online-direct,"Beverage,Menthol/Fresh",4,5,1,0,5,1,1,4,3,42.27,10.0
32,Male,CA,1830,1.4,3.8,18.9,Online-direct,Beverage,2,3,4,0,2,4,1,1,3,45.94,4.0
30,Male,PH,1277,2.1,8.8,15.3,Retail shop,"Other,Fruity,Spice",5,5,3,0,5,2,3,5,10,69.66,8.0
28,Male,CA,2035,2.8,2.6,22.2,Online-direct,"Spice,Beverage",3,4,3,0,1,4,2,1,3,31.3,5.0
19,Male,AE,955,2.6,3.7,4.8,Online-direct,"Other,Menthol/Fresh",3,5,4,0,1,3,1,1,3,33.59,3.0
27,Male,SG,1806,3.0,4.4,16.1,Other,"Other,Spice",4,4,3,1,4,4,1,2,6,49.31,8.0
27,Male,PH,2460,5.6,11.3,11.0,Online-direct,"Menthol/Fresh,Fruity,Other",4,5,2,1,3,1,1,4,10,74.55,7.0
24,Non-binary/Other,AU,1324,6.5,8.5,9.9,Retail shop,"Tobacco,Dessert",5,3,3,0,4,2,1,5,10,78.51,7.0
29,Male,SG,2734,4.0,7.4,22.1,Online-direct,"Tobacco,Fruity,Menthol/Fresh",3,5,4,0,3,3,2,4,10,83.08,5.0
33,Female,IN,2391,0.2,2.5,9.0,Online-direct,Beverage,4,1,3,0,5,2,1,5,3,39.66,6.0
45,Female,DE,3683,9.8,13.7,29.9,Retail shop,"Other,Dessert,Beverage",4,5,4,1,4,4,4,2,15+,122.39,6.0
31,Male,PH,2312,8.8,11.8,10.9,Online-direct,"Fruity,Spice",5,4,3,0,2,3,1,3,10,91.45,5.0
32,Female,IN,2463,3.7,7.1,16.7,Online-direct,"Menthol/Fresh,Spice",3,5,3,1,3,4,3,1,10,75.59,3.0
29,Male,AE,1961,2.2,7.1,11.0,Online-direct,Beverage,3,3,3,0,1,4,1,1,10,78.65,0.0
18,Female,PH,1384,0.9,4.6,13.0,Online-direct,Beverage,5,5,3,0,2,4,1,1,6,33.3,4.0
30,Male,PH,1995,4.2,6.1,23.8,Vape lounge,"Dessert,Other,Menthol/Fresh",5,5,3,1,3,2,1,4,6,61.31,5.0
30,Male,PH,3658,6.3,9.8,28.8,Online-direct,Other,5,5,3,0,4,3,2,3,10,86.97,8.0
50,Male,US,3195,3.3,9.9,22.5,Online-direct,"Dessert,Beverage",5,3,2,0,2,2,2,3,10,90.56,7.0
28,Male,PH,2306,3.0,6.8,8.8,Online-direct,"Other,Beverage,Fruity",4,5,3,1,3,4,1,4,6,66.82,4.0
32,Male,US,2498,0.6,3.8,7.8,Vape lounge,Beverage,2,5,3,1,4,4,1,2,3,35.15,6.0
30,Male,IN,1950,1.3,2.2,13.0,Retail shop,"Menthol/Fresh,Tobacco",4,5,5,0,1,5,2,1,3,38.75,3.0
21,Male,AU,1352,3.9,8.0,14.0,Vape lounge,Fruity,2,3,4,1,4,5,1,2,10,66.38,4.0
39,Male,US,3609,0.1,4.4,17.7,Friends,Fruity,4,4,3,0,3,4,1,3,6,67.23,7.0
36,Male,US,1501,3.1,6.6,25.0,Friends,"Menthol/Fresh,Other",2,4,3,0,5,4,2,4,6,42.64,8.0
36,Male,PH,1882,4.4,7.6,12.7,Online-direct,Dessert,5,3,3,0,3,4,1,4,10,73.81,3.0
23,Male,AU,1859,1.2,8.4,13.9,Online-direct,"Fruity,Dessert",5,5,3,0,4,3,1,4,10,83.37,6.0
41,Male,PH,3080,0.2,4.5,8.6,Vape lounge,"Beverage,Fruity,Spice",5,3,5,0,1,5,2,1,6,61.95,5.0
19,Female,IN,2136,5.1,10.0,18.7,Online-direct,Spice,4,4,3,0,2,3,1,1,10,79.07,2.0
35,Male,PH,2012,0.5,3.6,13.9,Online-direct,"Tobacco,Fruity,Beverage",4,4,3,0,1,2,1,1,3,15.0,7.0
48,Female,GB,2619,1.4,4.2,14.3,Online-direct,Other,2,3,4,1,3,4,2,4,6,57.77,6.0
22,Male,FR,1222,3.7,7.6,22.1,Retail shop,Dessert,4,3,5,0,2,5,1,1,10,69.18,3.0
25,Female,IN,2137,5.1,7.9,19.9,Online-direct,Dessert,5,5,4,0,5,4,2,5,10,75.28,7.0
31,Male,CA,2286,5.9,8.8,18.5,Retail shop,Spice,1,4,2,0,4,3,1,3,10,79.62,8.0
26,Male,SG,1782,2.3,6.0,16.2,Vape lounge,"Tobacco,Beverage",5,4,5,0,4,5,1,2,6,40.41,6.0
18,Male,SG,1917,1.9,4.1,14.5,Online-direct,"Dessert,Menthol/Fresh",5,5,4,1,5,4,2,5,6,47.78,8.0
31,Male,AU,3117,5.7,9.0,18.7,Online-direct,"Beverage,Other",1,1,3,0,3,4,1,3,10,85.77,4.0
22,Male,GB,1577,2.5,5.6,12.2,Online-direct,Tobacco,5,1,2,1,4,1,1,2,6,47.23,6.0
34,Male,US,1489,2.6,7.1,11.1,Online-direct,"Dessert,Beverage",5,2,4,0,4,3,1,2,10,81.61,7.0
23,Prefer not to say,GB,413,1.7,3.8,14.5,Online-direct,Other,4,2,3,1,4,2,2,4,3,41.34,10.0
42,Male,FR,3624,1.4,1.4,8.9,Online-direct,"Spice,Other",3,5,4,1,3,3,1,4,3,48.4,9.0
24,Male,IN,1851,2.0,4.5,17.1,Vape lounge,Dessert,5,3,2,0,5,2,2,5,6,47.42,10.0
27,Female,AU,2091,1.4,5.0,15.4,Online-direct,"Spice,Menthol/Fresh",3,4,4,0,2,4,2,2,6,64.03,6.0
37,Male,GB,2533,1.3,5.7,15.8,Retail shop,"Tobacco,Spice",4,3,1,1,5,2,1,5,6,60.26,10.0
20,Female,AE,629,15.2,17.2,32.1,Online-direct,"Spice,Menthol/Fresh,Tobacco",3,5,4,1,3,4,3,4,15+,84.88,1.0
32,Male,US,2929,1.2,5.0,8.0,Retail shop,"Beverage,Tobacco,Fruity",1,2,4,1,5,4,2,4,6,70.56,7.0
40,Female,GB,2536,0.9,5.6,24.4,Online-direct,"Dessert,Other",4,3,4,0,2,3,1,3,6,49.88,4.0
18,Male,AU,200,1.3,5.4,4.5,Online-direct,"Fruity,Menthol/Fresh,Other",4,4,5,1,5,5,1,5,6,62.12,6.0
31,Female,AE,2295,2.7,4.5,21.8,Online-direct,"Beverage,Other",3,4,4,0,2,4,1,2,6,62.25,6.0
32,Female,CA,1923,7.3,9.3,20.3,Online-direct,"Dessert,Beverage",4,2,4,0,2,3,1,1,10,90.06,1.0
36,Male,IN,1545,4.7,8.4,15.8,Online-direct,"Dessert,Fruity",5,4,3,0,3,3,2,4,10,85.61,4.0
20,Male,IN,865,5.5,10.9,13.5,Online-direct,"Fruity,Spice,Other",3,2,3,1,4,3,2,5,10,57.11,5.0
19,Male,CA,1039,5.9,8.9,15.9,Online-direct,"Dessert,Fruity",4,1,3,0,2,2,1,1,10,54.55,1.0
34,Non-binary/Other,PH,2823,7.6,10.4,19.6,Vape lounge,"Fruity,Menthol/Fresh,Other",2,5,2,0,5,3,3,3,10,75.32,7.0
32,Male,SG,3050,0.8,1.7,12.7,Friends,Beverage,4,3,3,0,4,4,1,5,3,32.4,6.0
32,Male,AE,2230,1.8,4.3,21.5,Retail shop,"Dessert,Menthol/Fresh,Tobacco",5,5,3,1,4,3,1,2,6,64.66,8.0
33,Male,US,1438,1.5,3.4,13.8,Online-direct,Dessert,5,2,3,0,4,3,2,2,3,27.01,5.0
25,Male,GB,1754,1.4,4.4,16.0,Retail shop,"Beverage,Dessert",5,3,3,0,2,2,1,3,6,57.8,7.0
32,Male,FR,1538,3.2,3.9,15.7,Online-direct,"Spice,Beverage",5,2,3,0,5,3,2,5,3,29.96,7.0
32,Non-binary/Other,SG,1037,1.5,4.0,12.4,Retail shop,"Beverage,Tobacco,Dessert",4,5,4,1,4,5,2,2,3,15.27,4.0
24,Male,AU,2497,2.9,4.4,13.4,Online-direct,Other,4,4,3,0,3,3,1,3,6,83.2,8.0
45,Female,PH,3787,1.4,5.8,15.3,Online-direct,"Tobacco,Other,Dessert",5,4,4,1,4,3,1,5,6,64.78,9.0
34,Male,US,2237,1.1,2.8,15.9,Online-direct,Fruity,1,4,5,1,4,5,2,3,3,38.84,5.0
20,Male,FR,1152,1.3,3.4,8.8,Online-direct,Fruity,3,3,3,1,4,4,1,2,3,31.39,3.0
35,Male,FR,2763,4.9,8.3,15.8,Retail shop,"Spice,Tobacco,Menthol/Fresh",5,5,4,0,4,4,1,3,10,96.7,6.0
22,Male,US,1571,2.8,5.1,16.9,Online-direct,"Tobacco,Other,Spice",4,1,4,0,3,3,2,1,6,46.21,7.0
36,Non-binary/Other,PH,2301,10.9,17.4,22.0,Online-direct,"Other,Spice",1,1,3,0,3,3,2,3,15+,92.08,9.0
39,Female,AU,2708,5.4,9.8,20.4,Online-direct,"Fruity,Spice,Other",3,3,2,1,5,1,3,5,10,73.05,9.0
23,Male,CA,1102,2.0,5.0,12.3,Retail shop,Fruity,4,5,3,1,5,4,1,5,6,40.58,6.0
38,Male,SG,2658,0.8,4.4,16.9,Online-direct,Tobacco,5,4,1,0,3,2,2,4,6,59.2,10.0
33,Male,DE,2145,3.4,2.9,19.8,Friends,"Spice,Menthol/Fresh,Fruity",4,5,4,1,4,4,3,2,3,41.9,4.0
37,Female,DE,3418,3.9,8.7,16.0,Retail shop,"Dessert,Other",5,5,3,1,4,4,2,4,10,94.52,7.0
45,Female,PH,3001,1.9,5.7,19.5,Retail shop,"Dessert,Beverage,Tobacco",5,3,4,0,2,5,2,3,6,73.67,1.0
28,Female,FR,1749,0.8,3.7,14.7,Online-direct,"Dessert,Tobacco,Other",5,3,4,1,4,4,1,3,3,44.07,4.0
24,Male,GB,1709,2.4,6.2,14.3,Online-direct,"Menthol/Fresh,Tobacco",5,5,4,1,5,3,1,3,6,46.93,9.0
23,Male,CA,2136,0.9,4.9,14.9,Online-direct,"Dessert,Fruity",5,2,5,0,4,5,2,3,6,59.31,4.0
23,Male,CA,2091,8.4,10.8,27.3,Online-direct,Tobacco,4,3,3,0,4,2,2,5,10,80.91,7.0
29,Male,PH,1842,3.0,6.6,15.7,Vape lounge,Other,4,3,2,0,3,3,3,1,6,52.9,7.0
33,Male,AU,1544,1.0,5.6,22.1,Retail shop,"Other,Beverage",4,4,5,1,3,5,2,3,6,44.11,5.0
32,Male,PH,1751,0.7,4.4,13.8,Online-direct,"Fruity,Other,Beverage",3,2,5,1,5,5,1,4,6,54.01,7.0
37,Male,GB,2683,3.8,6.4,9.3,Vape lounge,"Other,Fruity",5,3,3,0,2,3,1,2,6,60.84,3.0
30,Female,IN,2121,3.7,7.1,16.4,Online-direct,Fruity,3,2,4,0,3,5,3,3,10,87.63,7.0
42,Female,DE,2980,2.7,7.8,10.3,Online-direct,Other,2,5,2,0,2,1,2,2,10,80.49,9.0
28,Male,PH,1749,2.9,7.1,15.5,Online-direct,Other,4,5,1,0,2,2,3,1,10,68.98,9.0
52,Male,CA,2792,2.8,4.1,12.3,Online-direct,"Dessert,Other",5,2,4,0,5,4,1,3,6,70.36,10.0
35,Male,AU,3155,1.3,5.2,24.3,Retail shop,"Tobacco,Other",3,3,3,1,5,4,1,3,6,69.02,7.0
23,Female,DE,1304,8.3,12.0,30.0,Online-direct,"Tobacco,Dessert",5,4,5,0,3,4,2,3,10,76.79,4.0
21,Female,AE,1776,2.0,6.7,17.1,Retail shop,"Other,Tobacco",3,1,4,1,4,4,2,5,6,55.39,4.0
34,Female,US,3469,0.1,3.1,19.2,Online-direct,Fruity,1,5,4,0,4,4,1,2,3,50.36,5.0
28,Female,CA,1881,1.3,3.7,11.7,Other,"Dessert,Tobacco,Fruity",4,3,2,1,4,2,2,5,3,57.84,7.0
36,Male,AE,2452,0.4,1.3,4.2,Vape lounge,Tobacco,5,2,5,0,1,4,1,2,3,31.36,5.0
34,Male,AU,3130,1.4,3.4,16.0,Retail shop,"Menthol/Fresh,Tobacco",3,5,2,1,4,1,3,5,3,55.33,9.0
29,Male,CA,2223,2.8,7.6,19.4,Retail shop,Menthol/Fresh,2,5,4,0,5,5,1,4,10,77.11,8.0
23,Male,PH,2055,0.1,3.4,8.7,Online-direct,Tobacco,4,1,4,1,4,3,1,3,3,30.59,6.0
18,Female,CA,1654,6.1,9.0,14.5,Online-direct,Spice,3,2,2,0,3,3,1,3,10,78.68,5.0
26,Male,AU,2252,2.8,7.7,22.4,Online-direct,"Spice,Beverage,Tobacco",5,2,5,1,5,5,3,5,10,84.06,6.0
37,Male,CA,3146,1.1,5.7,7.3,Online-direct,Dessert,5,1,3,1,3,2,2,4,6,76.92,4.0
32,Male,GB,2545,1.1,3.0,15.8,Retail shop,Dessert,4,2,4,1,4,5,3,5,3,51.57,6.0
20,Non-binary/Other,FR,2257,1.9,6.7,15.1,Online-direct,Menthol/Fresh,4,5,4,1,4,4,1,5,6,57.85,4.0
31,Male,AE,2354,0.9,1.4,14.2,Retail shop,"Dessert,Fruity,Beverage",5,3,1,0,5,2,1,5,3,70.44,8.0
33,Female,IN,3447,0.1,3.8,18.7,Retail shop,Spice,3,4,5,1,5,4,2,5,3,42.37,5.0
23,Male,FR,1704,0.1,3.6,9.2,Online-direct,"Beverage,Fruity",3,2,3,1,3,4,1,4,3,43.55,8.0
31,Male,AU,2578,1.3,6.0,10.3,Retail shop,Spice,4,3,3,0,3,4,2,2,6,66.05,5.0
30,Male,DE,2097,0.4,4.0,21.3,Online-direct,"Menthol/Fresh,Fruity,Spice",3,5,2,0,2,2,1,1,3,53.63,4.0
21,Female,GB,1072,0.1,2.7,12.4,Online-direct,"Beverage,Tobacco,Other",4,2,3,1,4,3,1,3,3,37.74,9.0
33,Male,AE,2729,5.9,8.7,20.3,Online-direct,"Other,Beverage",2,5,4,1,4,5,3,3,10,87.16,5.0
34,Female,AU,2402,1.0,8.0,22.6,Online-direct,"Dessert,Fruity",5,4,3,0,5,2,1,4,10,82.91,10.0
39,Male,AE,2443,2.1,5.2,10.4,Online-direct,Beverage,5,3,3,1,4,3,1,5,6,66.22,6.0
38,Male,CA,3984,0.6,4.5,19.0,Retail shop,Fruity,1,2,4,1,4,3,3,2,6,91.49,10.0
19,Female,SG,1677,0.1,1.0,14.2,Friends,"Other,Dessert",5,4,5,0,3,5,1,1,3,26.54,6.0
22,Male,PH,2118,4.1,5.9,23.3,Vape lounge,Fruity,4,5,4,1,4,5,2,4,6,45.71,6.0
34,Male,FR,2572,0.4,4.2,21.5,Online-direct,Beverage,3,2,2,0,2,3,1,1,6,54.67,3.0
34,Female,CA,2288,0.1,1.0,11.3,Vape lounge,"Fruity,Spice,Dessert",5,1,3,1,4,2,1,5,3,33.73,9.0
34,Male,US,2677,2.7,6.5,20.3,Other,Tobacco,4,4,4,1,3,3,1,2,6,68.31,9.0
60,Female,DE,3878,0.1,2.0,12.2,Online-direct,Fruity,4,4,5,1,3,4,1,4,3,68.24,8.0
